date,player_a,player_b,score_a,score_b
2023-04-30,Travis Crawley,Dan Lynch,6,0
2023-04-30,Carl Borsi,William Kossack,4,6
2023-04-30,Choco Khan,Karthik Raj,6,0
2023-04-30,Tim Olencewicz,Darren Janitz,6,5
2023-04-30,Chris Davis,Wayde Barry,6,4
2023-04-30,Nestor Boy Dela Cruz,Jimi Serci,6,1
2023-04-30,Tim Hyde,Mick Caris,6,5
2023-04-30,Ricky Perkins,Damien Elmy,4,6
2023-04-30,Justin Sajich,Peter Barnes,6,1
2023-04-30,Raymond Harris,John Williams,6,2
2023-04-30,Ruel Dancel,Chris Johnson,6,1
2023-04-30,Jamie Walker,Robbie Savage,6,5
2023-04-30,Chris Beagley,Sandy Enriquez,6,2
2023-04-30,Scott Mckay,Matthew Wicks,6,0
2023-04-30,Jamie Buettner,Bronte Duncan,6,1
2023-04-30,Marc Bingham,Trai Chan,6,4
2023-04-30,Travis Crawley,William Kossack,6,4
2023-04-30,Choco Khan,Tim Olencewicz,3,6
2023-04-30,Chris Davis,Nestor Boy Dela Cruz,6,3
2023-04-30,Tim Hyde,Damien Elmy,6,5
2023-04-30,Justin Sajich,Raymond Harris,6,0
2023-04-30,Ruel Dancel,Jamie Walker,3,6
2023-04-30,Chris Beagley,Scott Mckay,6,3
2023-04-30,Jamie Buettner,Marc Bingham,6,4
2023-04-30,Travis Crawley,Tim Olencewicz,7,1
2023-04-30,Chris Davis,Tim Hyde,2,7
2023-04-30,Justin Sajich,Jamie Walker,7,3
2023-04-30,Chris Beagley,Jamie Buettner,7,4
2023-04-30,Travis Crawley,Tim Hyde,8,4
2023-04-30,Justin Sajich,Chris Beagley,5,8
2023-04-30,Travis Crawley,Chris Beagley,9,8
