date,player_a,player_b,score_a,score_b
2024-05-05,Travis Crawley,Chris Davis,5,2
2024-05-05,Choco Khan,Mick Caris,5,2
2024-05-05,Scott Coburn,Angelo Tsikouris,5,3
2024-05-05,Shawn O'Reilly,Damien Elmy,5,2
2024-05-05,Jamie Buettner,Paul Pike,4,5
2024-05-05,Melanie Sanders,Trai Chan,1,5
2024-05-05,Matthew Diatschenko,Scott Sims,5,1
2024-05-05,Ken Kernich,Scott Mckay,2,5
2024-05-05,Ben Judge,Carl Borsi,5,0
2024-05-05,Chris Johnson,Steve Hale,4,5
2024-05-05,Paul Cesar Llano,Raymond Harris,5,4
2024-05-05,Nickles Kyranis,Gary Atkinson,5,1
2024-05-05,Chris Beagley,Siobhan Niland,5,2
2024-05-05,Graeme Stoneman,Max Hobbs,4,5
2024-05-05,Justin Sajich,Adam Grace,5,0
2024-05-05,Robbie Savage,Peter Barnes,5,4
2024-05-05,Travis Crawley,Choco Khan,6,4
2024-05-05,Scott Coburn,Shawn O'Reilly,6,3
2024-05-05,Paul Pike,Trai Chan,6,2
2024-05-05,Matthew Diatschenko,Scott Mckay,6,5
2024-05-05,Ben Judge,Steve Hale,6,3
2024-05-05,Paul Cesar Llano,Nickles Kyranis,6,3
2024-05-05,Chris Beagley,Max Hobbs,6,0
2024-05-05,Justin Sajich,Robbie Savage,6,1
2024-05-05,Travis Crawley,Scott Coburn,7,2
2024-05-05,Paul Pike,Matthew Diatschenko,6,7
2024-05-05,Ben Judge,Paul Cesar Llano,7,6
2024-05-05,Chris Beagley,Justin Sajich,4,7
2024-05-05,Travis Crawley,Matthew Diatschenko,8,5
2024-05-05,Ben Judge,Justin Sajich,2,8
2024-05-05,Travis Crawley,Justin Sajich,1,9
