date,player_a,player_b,score_a,score_b
,Sam Crunden-Peck,Simon Kleinsman,2,5
,Riley James,Matt Pisano,5,1
,Brodie Conroy,Shane Smith,5,1
,Travis Martin,Tony McMullien,5,1
,Steve Argus,Cooper Denmen,0,5
,Barry Crossey,Temujin Dixon,5,3
,Billy McIntyre,Jason Doyle,5,4
,Charles Huang,Phil Bailey,0,5
,Patrick Cowen,Justin Thursby,0,5
,Kobie East,Calum Mackay,5,1
,Adam Smith,Josh Johnstone,5,4
,Dylan Vonderwall,Jahan Pitcorn,5,3
,Simon Singleton,Jared Rawlings,5,4
,Nathan Appleton,Shane Breckon,3,5
,Mathew Franceschini,Brodi Henville,5,1
,Scott Coburn,Callan Bissett,3,5
,Ryan King,Jordan Boyd,5,2
,William Keogh,Anthony Gempton,1,5
,Dylan Moyes,Micky Lennon,5,4
,John Saundercock,Tristan Matheson,5,2
,Marchi Hami,Deon Rawlings,2,5
,Troy George,Kain Stone,3,5
,Kenny Nicol,Nick Lynch,4,5
,Andy Barnett,Simon Kleinsman,5,2
,Rhys Godden,Dave Jaensch,5,1
,Ben Judge,Riley James,1,5
,Joseph Rennie,Brodie Conroy,5,0
,Brent Read,Travis Martin,3,5
,Jeff Gluyas,David Lyme,5,4
,Macwin Fernandes,Cooper Denmen,5,2
,Colin Gamble,Tom O'Keefe,2,5
,Travis Crawley,Barry Crossey,5,0
,Brodie Stubbs,Joshua Hart,2,5
,Ian Hinton,Billy McIntyre,4,5
,Morgan Evans,Phil Bailey,5,2
,Alex Pace,Justin Thursby,5,4
,Dane Beeton,Mark Owens,5,2
,Matt Harmon,Kobie East,5,3
,Rob Pendleton,Adam Smith,0,5
,Cale Barrett,Dylan Vonderwall,5,2
,Scott McKay,Graham O'Connell,5,0
,Matthew Gartrell,Simon Singleton,1,5
,David Lynton,Shane Breckon,5,3
,Greg Segal,Mathew Franceschini,2,5
,Matthew Diatschenko,Harry Jaensch,2,5
,Justin Stubbs,Callan Bissett,5,1
,Mick Norton,Ryan King,3,5
,Craig Stevens,Anthony Gempton,5,1
,Simon Gray,Adam Grace,4,5
,Rusty Wheeler,Dylan Moyes,5,1
,Jason Tanaskovic,John Saundercock,5,4
,Chris Beagley,Deon Rawlings,5,3
,Peter O'Keefe,Decoda Cook,5,1
,Chris Davis,Kain Stone,5,3
,Josh Gorski,Nick Lynch,5,2
,Andy Barnett,Rhys Godden,6,3
,Riley James,Joseph Rennie,6,2
,Travis Martin,Jeff Gluyas,4,6
,Macwin Fernandes,Tom O'Keefe,6,4
,Travis Crawley,Joshua Hart,6,3
,Billy McIntyre,Morgan Evans,3,6
,Alex Pace,Dane Beeton,6,4
,Matt Harmon,Adam Smith,6,2
,Cale Barrett,Scott McKay,6,4
,Simon Singleton,David Lynton,6,3
,Mathew Franceschini,Harry Jaensch,6,0
,Justin Stubbs,Ryan King,2,6
,Craig Stevens,Adam Grace,6,2
,Rusty Wheeler,Jason Tanaskovic,6,1
,Chris Beagley,Peter O'Keefe,6,1
,Chris Davis,Josh Gorski,5,6
,Andy Barnett,Riley James,7,3
,Jeff Gluyas,Macwin Fernandes,3,7
,Travis Crawley,Morgan Evans,7,4
,Alex Pace,Matt Harmon,7,3
,Cale Barrett,Simon Singleton,7,0
,Mathew Franceschini,Ryan King,5,7
,Craig Stevens,Rusty Wheeler,5,7
,Chris Beagley,Josh Gorski,3,7
,Andy Barnett,Macwin Fernandes,8,2
,Travis Crawley,Alex Pace,3,8
,Cale Barrett,Ryan King,8,5
,Rusty Wheeler,Josh Gorski,8,4
,Andy Barnett,Alex Pace,9,6
,Cale Barrett,Rusty Wheeler,8,9
2025-11-21,Andy Barnett,Rusty Wheeler,9,10
