date,player_a,player_b,score_a,score_b
2025-08-08,Colin Gamble,Gerrad Wicks,5,8
2025-08-08,Lachlan Inmon,Stacey Dunlop,8,0
2025-08-08,Adam Youd,Peter Donati,8,7
2025-08-08,Jack Young,Nick Robertson,8,2
2025-08-08,Jacob Dunn,Roy Tan,5,8
2025-08-08,Chris Duckett,Bradley Grant,4,8
2025-08-08,Carlton Higgins,Daniel Walton,8,5
2025-08-08,Brad Joyes,Scott Frankcombe,8,1
2025-08-08,Justin Thursby,Ian Kaye,8,0
2025-08-08,Venky Yarramsetti,Steve Halliday,3,8
2025-08-08,Wayne Stubbs,Luke Webb,8,3
2025-08-08,Josh Johnstone,Paul Pike,6,8
2025-08-08,Derek Patmore,Kylie Bellinger,6,8
2025-08-08,John Russell,Joe Watkins,8,7
2025-08-08,Tony Quach,Phil Aird,8,3
2025-08-08,Laurence Roque,Brendon Smith,8,7
2025-08-08,Temujin Dixon,Gerrad Wicks,8,1
2025-08-08,Lachlan Inmon,Justin Stubbs,1,8
2025-08-08,Paull Clack,Adam Youd,8,2
2025-08-08,Jack Young,Cale Barrett,0,8
2025-08-08,Jake McCartney,Roy Tan,8,4
2025-08-08,Bradley Grant,Alex Pace,5,8
2025-08-08,Mick Norton,Carlton Higgins,8,5
2025-08-08,Brad Joyes,Justin Sajich,2,8
2025-08-08,Kurt Dunham,Justin Thursby,6,8
2025-08-08,Steve Halliday,Troy Rudling,8,7
2025-08-08,Ricky Emery,Wayne Stubbs,7,8
2025-08-08,Paul Pike,Jeremy McGuire,3,8
2025-08-08,Rusty Wheeler,Kylie Bellinger,8,4
2025-08-08,John Russell,Adam Bleumink,5,8
2025-08-08,Steve Jamieson,Tony Quach,8,2
2025-08-08,Laurence Roque,Marc Robertson,2,8
2025-08-08,Temujin Dixon,Justin Stubbs,8,1
2025-08-08,Paull Clack,Cale Barrett,8,4
2025-08-08,Jake McCartney,Alex Pace,8,1
2025-08-08,Mick Norton,Justin Sajich,1,8
2025-08-08,Justin Thursby,Steve Halliday,8,7
2025-08-08,Wayne Stubbs,Jeremy McGuire,8,7
2025-08-08,Rusty Wheeler,Adam Bleumink,8,4
2025-08-08,Steve Jamieson,Marc Robertson,7,8
2025-08-08,Temujin Dixon,Paull Clack,8,7
2025-08-08,Jake McCartney,Justin Sajich,6,8
2025-08-08,Justin Thursby,Wayne Stubbs,7,8
2025-08-08,Rusty Wheeler,Marc Robertson,8,6
2025-08-08,Temujin Dixon,Justin Sajich,2,8
2025-08-08,Wayne Stubbs,Rusty Wheeler,8,4
2025-08-08,Justin Sajich,Wayne Stubbs,8,6
2025-08-08,Jacob Dunn,Gerrad Wicks,5,6
2025-08-08,Chris Duckett,Lachlan Inmon,6,4
2025-08-08,Daniel Walton,Adam Youd,1,6
2025-08-08,Scott Frankcombe,Jack Young,1,6
2025-08-08,Roy Tan,Colin Gamble,6,0
2025-08-08,Bradley Grant,Stacey Dunlop,6,0
2025-08-08,Carlton Higgins,Peter Donati,2,6
2025-08-08,Brad Joyes,Nick Robertson,6,3
2025-08-08,Derek Patmore,Kurt Dunham,0,6
2025-08-08,Joe Watkins,Troy Rudling,5,6
2025-08-08,Phil Aird,Ricky Emery,3,6
2025-08-08,Brendon Smith,Paul Pike,4,6
2025-08-08,Kylie Bellinger,Ian Kaye,6,2
2025-08-08,John Russell,Venky Yarramsetti,6,0
2025-08-08,Tony Quach,Luke Webb,4,6
2025-08-08,Laurence Roque,Josh Johnstone,4,6
2025-08-08,Gerrad Wicks,Chris Duckett,6,3
2025-08-08,Adam Youd,Jack Young,6,2
2025-08-08,Roy Tan,Bradley Grant,6,4
2025-08-08,Peter Donati,Brad Joyes,3,6
2025-08-08,Kurt Dunham,Troy Rudling,4,6
2025-08-08,Ricky Emery,Paul Pike,6,0
2025-08-08,Kylie Bellinger,John Russell,6,3
2025-08-08,Luke Webb,Josh Johnstone,6,4
2025-08-08,Gerrad Wicks,Steve Halliday,6,4
2025-08-08,Adam Youd,Jeremy McGuire,3,6
2025-08-08,Adam Bleumink,Roy Tan,6,1
2025-08-08,Steve Jamieson,Brad Joyes,6,0
2025-08-08,Troy Rudling,Justin Stubbs,2,6
2025-08-08,Ricky Emery,Cale Barrett,4,6
2025-08-08,Alex Pace,Kylie Bellinger,6,0
2025-08-08,Mick Norton,Luke Webb,6,1
2025-08-08,Gerrad Wicks,Jeremy McGuire,2,6
2025-08-08,Adam Bleumink,Steve Jamieson,1,6
2025-08-08,Justin Stubbs,Cale Barrett,4,6
2025-08-08,Alex Pace,Mick Norton,6,1
2025-08-08,Jeremy McGuire,Paull Clack,2,6
2025-08-08,Steve Jamieson,Jake McCartney,1,6
2025-08-08,Cale Barrett,Justin Thursby,6,3
2025-08-08,Alex Pace,Marc Robertson,3,6
2025-08-08,Paull Clack,Jake McCartney,1,6
2025-08-08,Cale Barrett,Marc Robertson,3,6
2025-08-08,Rusty Wheeler,Jake McCartney,3,6
2025-08-08,Temujin Dixon,Marc Robertson,6,0
2025-08-08,Jake McCartney,Temujin Dixon,4,6
2025-08-08,Wayne Stubbs,Temujin Dixon,4,6
2025-08-08,Justin Sajich,Temujin Dixon,8,4
