date,player_a,player_b,score_a,score_b
2024-10-16,Jeff Gluyas,Steve Jamieson,1,4
2024-10-16,Tristan Massang,Thomas Warren,4,3
2024-10-16,Jay Windross,Trent Boes,4,1
2024-10-16,Chris Davis,Matthew Franceschini,4,3
2024-10-16,Kristian Lindsay,Cameron Thorp,3,4
2024-10-16,Jack Hunter,Brad Abdilla,4,0
2024-10-16,Rhys Godden,Mick Girvan,4,1
2024-10-16,Travis Crawley,Luke Hoffmann,4,2
2024-10-16,Cameron Forder,Jacob Marshall,0,4
2024-10-16,Matthew Diatschenko,Christian Malinovic,4,3
2024-10-16,Joe McClintock,Malcolm Gale,4,1
2024-10-16,Brent Read,Bradley Beveridge,4,0
2024-10-16,Micky Lennon,Toby Clack,1,4
2024-10-16,Macwin Fernandes,John Knott,4,0
2024-10-16,Charles Huang,Keith Tonna,3,4
2024-10-16,David Kelliher,Daniel King,2,4
2024-10-16,David Lynton,Sean Dempsey,4,1
2024-10-16,Lockie Smith,Daniel Podgorski,2,4
2024-10-16,Nathan McMahon,Dan Rucci,4,0
2024-10-16,Nicolas Edlinger,Joe Watkins,2,4
2024-10-16,William Kossack,Dane Beeton,1,4
2024-10-16,Scott Coburn,Matt Pisano,4,0
2024-10-16,Brendan O'Brien,Adam Dunn,4,1
2024-10-16,Jimi Serci,Andrew Luu,4,2
2024-10-16,Aaron James,Barry Shonhan,4,1
2024-10-16,Steve Saxon,Alex Haynes,4,3
2024-10-16,Garry Cummins,David Chilcott,1,4
2024-10-16,Dave Collingridge,Venky Yarramsetti,4,0
2024-10-16,Calum Mackay,Peter O'Keefe,1,4
2024-10-16,Jack Green,David Limareff,2,4
2024-10-16,Simon Gray,Ron Kelly,3,4
2024-10-16,Erik Westerholm,Ben Judge,4,3
2024-10-16,Blair Kirkcaldy,Dylan Moyes,4,2
2024-10-16,Adam Langtree,Scott Cochrane,4,1
2024-10-16,Stone Stenhouse,Jamie Myles,3,4
2024-10-16,James Hay,Jordan Boyd,4,3
2024-10-16,Michael Hayes,James Hammond,3,4
2024-10-16,Justin Andrews,Jordan Percy,4,3
2024-10-16,Jakk Phillips,Jamie Staines,4,3
2024-10-16,Tyreece Gray,Jonathan Wilkins,4,1
2024-10-16,Danyal Porter,Kris Cherry,4,2
2024-10-16,Trai Chan,Jake Persello,3,4
2024-10-16,Scott Parker,Dylan Furner,4,1
2024-10-16,Brendan Hutchings,Seb Lehtonen,0,4
2024-10-16,Paul Hinks,Wayne Gilmour,3,4
2024-10-16,Nathan Nemes,Tristan Earll,4,0
2024-10-16,Jacob Dunn,Brendan D'Aquino,4,1
2024-10-16,Craig Stevens,Samuel Taylor,4,3
2024-10-16,Harley Bushell,Andrew Fidge,0,4
2024-10-16,Alex Kingsbury,Josh Gorski,4,3
2024-10-16,Joseph Evans,Steve Shovan,4,0
2024-10-16,Scott Easton,Josh Walkden,4,2
2024-10-16,Brendan Kantor,Phil Aird,4,2
2024-10-16,Corey Mansson,Tim Olencewicz,3,4
2024-10-16,Chris Beagley,Jason McPhee,4,1
2024-10-16,Troy Forrester,Glenn Selby,4,2
2024-10-16,Joseph Rennie,Andy Marshall,2,4
2024-10-16,Luke Anglesey,Steve Jamieson,3,4
2024-10-16,Tristan Massang,Jay Windross,3,4
2024-10-16,Chris Davis,Cameron Thorp,4,1
2024-10-16,Jack Hunter,Rhys Godden,4,1
2024-10-16,Travis Crawley,Jacob Marshall,1,4
2024-10-16,Matthew Diatschenko,Joe McClintock,0,4
2024-10-16,Brent Read,Toby Clack,1,4
2024-10-16,Macwin Fernandes,Keith Tonna,4,3
2024-10-16,Paull Clack,Daniel King,4,3
2024-10-16,David Lynton,Daniel Podgorski,0,4
2024-10-16,Nathan McMahon,Joe Watkins,4,3
2024-10-16,Dane Beeton,Scott Coburn,4,2
2024-10-16,Cale Barrett,Brendan O'Brien,4,2
2024-10-16,Jimi Serci,Aaron James,1,4
2024-10-16,Steve Saxon,David Chilcott,4,3
2024-10-16,Dave Collingridge,Peter O'Keefe,4,3
