date,player_a,player_b,score_a,score_b
2024-03-10,Scott Easton,Corey Bray,0,3
2024-03-10,Glenn Croese,Tavis Aitchison,3,2
2024-03-10,Steve Halliday,Sean Walpole,3,1
2024-03-10,Phil Kinsey,Daniel Harup,3,1
2024-03-10,Steve Balaki,Josh Gorski,1,3
2024-03-10,Shaun Stone,Thomas O'Keefe,1,3
2024-03-10,Rob Bowen,James Menz,3,0
2024-03-10,Jamie Stacey,Scott Gresham,3,0
2024-03-10,Steve Tran,Steve Landsborough,3,2
2024-03-10,Peta Robson,Andrea Lackovic,3,1
2024-03-10,Ian Will,John Greer,3,0
2024-03-10,Rick Bariola,Alpy Onder,2,3
2024-03-10,Dion Moir,Joseph Evans,0,3
2024-03-10,Warwick Howell,Jack Green,0,3
2024-03-10,Phillip Lee,Terry Shiells,2,3
2024-03-10,Leigh Gilpin,Nole Fontana,0,3
2024-03-10,Steven Savannah,Rob Alexander,3,1
2024-03-10,Nelson Chater,Steve Jamieson,0,3
2024-03-10,Sean Dempsey,Nicholas Edlinger,3,1
2024-03-10,Dale Watson,Anthony Jeffrey,3,1
2024-03-10,Jacob Isles,Johnny Zhu,3,1
2024-03-10,Kolbe Poole,Tushar Singh,0,3
2024-03-10,Matt Goodlock,Michael O'Connor,3,0
2024-03-10,John Carver,Lachy Courtney,2,3
2024-03-10,Danny Frittoli,Jack Hancock,3,0
2024-03-10,John Raczkowski,Matt McDonnell,3,0
2024-03-10,Travis Henderson,Gavin Roberts,1,3
2024-03-10,Paul Thomas,Tony Marsh,0,3
2024-03-10,Brett Weehee,Ian Irvine,3,1
2024-03-10,Cam Cary,Padricis Gautum,3,1
2024-03-10,Michael Cody,Jamie Walker,2,3
2024-03-10,Jason Tanaskovic,Logan Brann,3,2
2024-03-10,Steve Brosnahan,Rick Stray,3,0
2024-03-10,Max Metcalfe,Travis Martin,0,3
2024-03-10,Chris Duckworth,Jack Heinjus Jnr,0,3
2024-03-10,Mick Taylor,Matthew Palko,2,3
2024-03-10,Don Weston,Michael Schilling,2,3
2024-03-10,Phil Tunstall,Simon Henry,3,2
2024-03-10,Mark Laws,Frank Lidonnici,2,3
2024-03-10,Joseph Rennie,Norm Beshara,3,1
2024-03-10,Justin Whitehead,Andrew Platt,1,3
2024-03-10,Josh McLean,Decoda Cook,3,2
2024-03-10,Joey Tohme,Mick Norton,3,1
2024-03-10,Ron Farmer,Micky McAleer,3,1
2024-03-10,Don Colbert,Travis Mahony,2,3
2024-03-10,Paul Pike,Daniel Vandermeer,3,0
2024-03-10,Quinton Sawyer,Scott Bell,3,0
2024-03-10,Trent Nydam,Nathan Harris,0,3
2024-03-10,John Russell,Ryan Smidt,3,2
2024-03-10,Justin Kennedy,Robby Lorosso,2,3
2024-03-10,Andy Peck,Ash Balgobin,2,3
2024-03-10,Tem Dixon,Archy Arkdor,3,0
2024-03-10,Frank Huang,Dale Kent,0,3
2024-03-10,Rebecca Anwin,Don King,1,3
2024-03-10,Jason Atkins,Anthony Woodcroft,0,3
2024-03-10,Kent Beaumont,Eddie Edlinger,2,3
2024-03-10,Heath Newport,Andy Miles,1,3
2024-03-10,Dale Slattery,Jack Bowen Alexander,1,3
2024-03-10,Jason Gelea,Ciaran Dempsey,0,3
2024-03-10,Dylan Furner,Vince Barbuto,2,3
2024-03-10,Nabil Hoyek,Mark Eaton,3,2
2024-03-10,Christopher Rowlands,Adam Bleumink,0,3
2024-03-10,Farzad Nesahat,Cody Cairns,3,0
2024-03-10,Michael Girvan,Brett Cook,3,1
2024-03-10,Lachy Courtney,Glenn Croese,3,2
2024-03-10,Travis Martin,Gavin Roberts,3,2
2024-03-10,Michael Girvan,Jamie Stacey,3,1
2024-03-10,Steven Savannah,Ash Balgobin,3,2
2024-03-10,Nole Fontana,Danny Frittoli,0,3
2024-03-10,Dale Kent,Ciaran Dempsey,3,0
2024-03-10,Thomas O'Keefe,Matthew Palko,2,3
2024-03-10,Steve Brosnahan,Nathan Harris,1,3
2024-03-10,Ron Farmer,Andrew Platt,3,2
2024-03-10,Michael Schilling,Terry Shiells,0,3
2024-03-10,Matt Goodlock,Jacob Isles,3,1
2024-03-10,Steve Halliday,Dale Watson,3,2
2024-03-10,Jack Green,Adam Bleumink,3,2
2024-03-10,Jason Tanaskovic,John Russell,3,1
2024-03-10,Peta Robson,Joseph Evans,0,3
2024-03-10,Tem Dixon,Andy Miles,3,0
2024-03-10,Jamie Walker,Steve Tran,0,3
2024-03-10,Corey Bray,Tushar Singh,0,3
2024-03-10,Tony Marsh,Paul Pike,2,3
2024-03-10,Farzad Nesahat,Joey Tohme,3,2
2024-03-10,Eddie Edlinger,Josh Gorski,1,3
