date,player_a,player_b,score_a,score_b
2026-02-15,Marc Robertson,Matt Sheedy,3,0
2026-02-15,Rodney Lee,Ron Callander,0,3
2026-02-15,Jason Smiley,Peter Rivett,3,1
2026-02-15,Jack Cou,Logan Brann,3,1
2026-02-15,Jakk Phillips,Tan Mahadea,0,3
2026-02-15,Paul Pike,Corey Bray,3,0
2026-02-15,Michael Reardon,Amelia Evans,3,0
2026-02-15,Joseph Evans,Norm Beshara,2,3
2026-02-15,Ben Nunan,Graeme Wright,3,1
2026-02-15,Bronte Duncan,Jay Windross,0,3
2026-02-15,Steve Tran,bobby Dennis,3,1
2026-02-15,Stephen Hargreaves,Zac Flanders,1,3
2026-02-15,Steve Jamieson,Matt Witcombe,3,1
2026-02-15,Matt Sawyer,Kevin Van Eggelen,2,3
2026-02-15,James Wickett,Lochlan Loveday,3,2
2026-02-15,Justin Allen,Steve McCormick,3,2
2026-02-15,Justin Sajich,Stan Iakovakis,3,0
2026-02-15,Anthony Jeffery,Steve Law,1,3
2026-02-15,Daniel Thorp,Scott Easton,3,1
2026-02-15,Kevin Malek,Mitch Adams,3,2
2026-02-15,Scott Parker,Tim Liddell,0,3
2026-02-15,Craig Sutherland,Ekky Lakthong,2,3
2026-02-15,Jack Green,Warren Hume,3,0
2026-02-15,Arsh Singh,Ash Monocha,1,3
2026-02-15,Gus Di Giorgio,Bobbie-Jo Quin,3,0
2026-02-15,Travis O'Mahony,Don Colbert,2,3
2026-02-15,Tim Shelton,Alex Pace,1,3
2026-02-15,Lorenzo Ernstzen,Frank Nesahat,3,2
2026-02-15,Rhys Godden,Mark Meehan,3,0
2026-02-15,Trent Reinheimer,Jaie Kennedy,3,1
2026-02-15,Steve Halliday,John McCarter,3,0
2026-02-15,Rob Scarcella,Frank Lidonnici,1,3
2026-02-15,Michael Scerri,Jamie Keane,3,2
2026-02-15,Michael Cody,Eamonn Breen,3,0
2026-02-15,Josh Gorski,Aaron Kilpatrick,3,2
2026-02-15,Darren Waite,Mark Williams,3,0
2026-02-15,Travis Martin,Kyle Wilson,3,0
2026-02-15,Kiki Singh,Chase Daley,1,3
2026-02-15,John Russell,Bill Lehman,2,3
2026-02-15,John Barton,Daniel Jenkins,0,3
2026-02-15,Johl Younger,Teah Raeburn,3,0
2026-02-15,Sean Walpole,Tony Begovic,3,1
2026-02-15,Tushar Singh,Kent Beaumont,1,3
2026-02-15,Dale Watson,Andrea Colombo,3,2
2026-02-15,Temujin Dixon,Steven Nyman,3,0
2026-02-15,Jon Patterson,Don King,3,1
2026-02-15,Patrick Hood,Akkie Yooiam,3,2
2026-02-15,Jason Ramsden,Josh Lancaster,3,1
2026-02-15,Jake McCartney,Jake Bratzendale,3,0
2026-02-15,Jamie Stevens,Tony Masci,3,1
2026-02-15,Toby Clack,Ronnie George,3,1
2026-02-15,Bryan Perriton,Matty Vanderhulsdonk,0,3
2026-02-15,Mark Owens,Trevor Parker,3,1
2026-02-15,Nick Baltas,Andy Parker,1,3
2026-02-15,Gavin Roberts,Bailey Noblett,3,0
2026-02-15,Tristan Earl,Vic Opalicki,0,3
2026-02-15,Rob Bowen,Dion Moir,2,3
2026-02-15,Padricis Gautum,George Zomaya,3,0
2026-02-15,Decoda Cook,Brendan Leigh,3,0
2026-02-15,John Lehman,Glenn Croese,3,1
2026-02-15,David Rothall,Ron Batrouney,3,2
2026-02-15,Peter Harvie,Anthony Cacciola,0,3
2026-02-15,Sean Dempsey,Clint Aydon,3,0
2026-02-15,Roy Noblett,Thomas O'Keefe,3,2
2026-02-15,Lorenzo Ernstzen,Alex Pace,0,3
2026-02-15,Jason Smiley,Tan Mahadea,1,3
2026-02-15,Mark Owens,John Lehman,3,0
2026-02-15,Jay Windross,Justin Allen,0,3
2026-02-15,James Wickett,Kent Beaumont,1,3
2026-02-15,Michael Reardon,Jake McCartney,1,3
2026-02-15,Daniel Jenkins,Tim Liddell,2,3
2026-02-15,Temujin Dixon,Frank Lidonnici,3,0
