date,player_a,player_b,score_a,score_b
2025-06-13,Vince Barbuto,Bassam Ali,4,8
2025-06-13,Aaron Kilpatrick,Chester Fili,8,7
2025-06-13,Gavin Roberts,Warren Hume,8,1
2025-06-13,David Kelliher,Clint Aydon,8,4
2025-06-13,Bronte Duncan,Taua Asiata,8,0
2025-06-13,Adam Couchman,Alex Alabakis,6,8
2025-06-13,Scott Adams,Tony Begovic,8,7
2025-06-13,Tony Wakefield,Sam Lilly,4,8
2025-06-13,Kevin Malek,Nelson Chater,8,6
2025-06-13,George Zomaya,Dan Lynch,8,3
2025-06-13,Shane O'Brien,Brendan O'Brien,7,8
2025-06-13,Mark Williams,Luke Jowett,8,5
2025-06-13,Bruce McQuillan,Boris Krasic,6,8
2025-06-13,Fualaau Evagelia,Marko Bulic,4,8
2025-06-13,Adam Langtree,Anthony Jeffery,8,7
2025-06-13,Jason Djatschenko,Shaief Azim,1,8
2025-06-13,Bailey Noblett,Dale Kennedy,4,8
2025-06-13,Tom O'Keefe,Steven Savannah,8,5
2025-06-13,Tushar Singh,Matty Verhulsdonk,8,6
2025-06-13,Matt Sheedy,Tony Jellett,4,8
2025-06-13,Hal Pritchard,Andy Newton,8,4
2025-06-13,Leigh Middleton,Jimmy Wida,4,8
2025-06-13,Archy Ardkor,Sandy Enriquez,8,2
2025-06-13,Logan Brann,Riccardo Tomasello,8,3
2025-06-13,Stephen Brosnahan,Braydan Jenkins,8,2
2025-06-13,Dan Rushton,Joey Tohme,7,8
2025-06-13,Bryce Shergold,Ben Hood,4,8
2025-06-13,Matt Murcott,Dylan Vonderwall,1,8
2025-06-13,Daniel Salaj,Trent Mason,8,7
2025-06-13,Darren Chambers,Stuart Williams,7,8
2025-06-13,John Muir,Dinesh Patel,8,6
2025-06-13,Stephen Sirocuk,Mike Ballam,8,7
2025-06-13,Luke Yancic,Michael Mihaljevic,5,8
2025-06-13,Ken Krieger,Paul Llano,8,5
2025-06-13,Shane Leonard,Jabbour Wannouch,8,2
2025-06-13,Mitch Adams,Marchi Hami,8,3
2025-06-13,Jared Stowe-Winder,Jon Carver,8,6
2025-06-13,Brendan Hutchings,Dave Andrews,8,4
2025-06-13,Emannual Tongzon,Dave Schneider,5,8
2025-06-13,Akkie Yooiam,Norm Beshara,5,8
2025-06-13,Peter Mulipola,Ron Callender,6,8
2025-06-13,Murat Durmaz,Dave Eaglen,6,8
2025-06-13,Scott Healy,Jason Ramsden,8,4
2025-06-13,Darren Shaw,Chris Johnson,8,4
2025-06-13,Shane Vogt,Himal Singh,8,5
2025-06-13,Dale Gifford,Tony Kostov,8,1
2025-06-13,Steve Landsborough,Jungee Lee *,8,6
2025-06-13,Dave Limareff,Michael Tadd,4,8
2025-06-13,Scott Fraser,Lorenzo Ernstzen,8,5
2025-06-13,Chris Jolly Jnr,Mick Martin,7,8
2025-06-13,Trent Boes,Alpy Onder,8,5
2025-06-13,Robbie Sunderland,Ramon Dunn,5,8
2025-06-13,Braedon Hale,Stan Iakovakis,8,3
2025-06-13,Ash Balgobin,Jack Couchman,4,8
2025-06-13,Dan Sinclair,Melvin Chadwick,8,2
2025-06-13,Frank Lidonnici,Andrew Luu,2,8
2025-06-13,Shane Harris,Alan Marchingo,2,8
2025-06-13,Olan O'Mahony,Sean Walpole,8,7
2025-06-13,Padraig Fanning,Mel Lobambarda,8,0
2025-06-13,Robert Dennis,Gavin Smith,8,3
2025-06-13,Josh Kitanovski,Barry Wakefield,2,8
2025-06-13,Michael Cody,Chase Daley,4,8
2025-06-13,Darren Murnane,Decoda Cook,8,6
2025-06-13,Trevor Parker,John Luczo,8,4
2025-06-13,Bassam Ali,Aaron Kilpatrick,8,6
2025-06-13,Gavin Roberts,David Kelliher,6,8
2025-06-13,Bronte Duncan,Alex Alabakis,5,8
2025-06-13,Scott Adams,Sam Lilly,3,8
2025-06-13,Kevin Malek,George Zomaya,4,8
2025-06-13,Brendan O'Brien,Mark Williams,6,8
2025-06-13,Boris Krasic,Marko Bulic,8,2
2025-06-13,Adam Langtree,Shaief Azim,8,7
2025-06-13,Dale Kennedy,Tom O'Keefe,6,8
