date,player_a,player_b,score_a,score_b
2026-06-14,Mitch Adams,Luke Yancic,6,8
2026-06-14,David Kelliher,Wayne Kong-Gardiner,4,8
2026-06-14,Dale Kennedy,Shawn Salmon,8,2
2026-06-14,Peter Mulipola,Arsh Singh,7,8
2026-06-14,Kevin Malek,Vic Opalacki,8,6
2026-06-14,Sean Walpole,Archie Aksakal,8,4
2026-06-14,Logan Brann,Bradd Hill,8,7
2026-06-14,Kieran Adleigh,Stan Iakovakis,8,4
2026-06-14,Luke Yancic,Wayne Kong-Gardiner,5,8
2026-06-14,Dale Kennedy,Arsh Singh,7,8
2026-06-14,Kevin Malek,Sean Walpole,6,8
2026-06-14,Logan Brann,Kieran Adleigh,8,2
2026-06-14,Wayne Kong-Gardiner,Arsh Singh,8,6
2026-06-14,Sean Walpole,Logan Brann,8,4
2026-06-14,Wayne Kong-Gardiner,Sean Walpole,6,8
