date,player_a,player_b,score_a,score_b
2025-07-06,Jake McCartney,Ricky Emery,11,6
2025-07-06,Joseph Evans,Patrick Hood,11,10
2025-07-06,Gus Di Giorgio,Simon Singleton,5,11
2025-07-06,Steve Tran,Ricky Watson,11,10
2025-07-06,Justin Sajich,Temujin Dixon,11,9
2025-07-06,Kurt Dunham,Lee Mcsharry,11,8
2025-07-06,Marc Robertson,Vijay Randall,11,2
2025-07-06,Rusty Wheeler,Michael Scerri,11,9
2025-07-06,Jake McCartney,Joseph Evans,11,6
2025-07-06,Simon Singleton,Steve Tran,11,9
2025-07-06,Justin Sajich,Kurt Dunham,2,11
2025-07-06,Marc Robertson,Rusty Wheeler,9,11
2025-07-06,Jake McCartney,Simon Singleton,11,6
2025-07-06,Kurt Dunham,Rusty Wheeler,6,11
2025-07-06,Jake McCartney,Rusty Wheeler,9,11
