date,player_a,player_b,score_a,score_b
2023-01-14,Marlon Jackson,George Bott,0,2
2023-01-14,Richelle Dickson,Matt Harmon,0,2
2023-01-14,Brett King,Dene Heremaia,2,0
2023-01-14,Terence Mudge,Jason Finlay,2,1
2023-01-14,JJ Spink,Wayne Bishop,2,0
2023-01-14,Samuel Southwell,Jayden Dinga,0,2
2023-01-14,Helen Higgins,John Pettinato,0,2
2023-01-14,Barbara Thomas,Robbie Kajewski,0,2
2023-01-14,James Buchanan,Devlen Brown,2,0
2023-01-14,Alex Larkins,Hayley Schopp,2,0
2023-01-14,Gavin Prior,Barry Hensler,0,2
2023-01-14,Jack Schumann,Joel Slatter TW,0,2
2023-01-14,Jase Cattermoul,Beau Young,1,2
2023-01-14,Craig Vandervegt,Matt Stark,1,2
2023-01-14,Stewart Holder,John Scarborough,1,2
2023-01-14,Ben Middleton,Len Stein,1,2
2023-01-14,Lucas Dinga,Ed Dinga,0,2
2023-01-14,Pauline Prior,Joshua Hands,0,2
2023-01-14,Duain Bauer,Daniel Dickson,0,2
2023-01-14,Alana Wilmot,Colin Williams,1,2
2023-01-14,Dale Smith,Mary Bock,2,1
2023-01-14,Michael Brent,Shawn Hafemeister,2,0
2023-01-14,Brian Griffin,Justin Sajich,0,2
2023-01-14,Ethan Hall,Troy Mottershead,0,2
2023-01-14,Mark Doolan,Ian Darcy,0,2
2023-01-14,Jake Hanrahan,Brett Lapham,0,2
2023-01-14,Josh Craze,Daniel Mirfin,2,0
2023-01-14,Brody Richards,Tommy Punton,2,0
2023-01-14,Derek Stewart,Brendan Prior,2,0
2023-01-14,Vince Lee,Justin Thursby,0,2
2023-01-14,Dylan Leevard,Billy Dwan,2,0
2023-01-14,Sophia Dacal,Jesse Richards,0,2
2023-01-14,Clayton Moore,Aaron Watts,2,0
2023-01-14,Mike Stone,Travis Speare,2,0
2023-01-14,Katie Alifrangis,Mark McQueeney,0,2
2023-01-14,Matt Talty,Adam Grabish,1,2
2023-01-14,Dayne Van Kempen,Craig Stubbin,0,2
2023-01-14,Andrew Grueff,Blake Weaver,2,0
2023-01-14,Bobbie Joe,Josh Cahill,2,1
2023-01-14,George Bradford,Neil Armstrong,0,2
2023-01-14,Mick Gray,Mikey Collins,0,2
2023-01-14,Luber Giraldo,Chris Sutton,2,1
2023-01-14,Graham Moody,Aaron Hall,1,2
2023-01-14,Seb Thompson,Tim Olsen,2,1
2023-01-14,Angus Prior,Cooper Hawley,0,2
2023-01-14,Gary Scarborough,Maria Derma,1,2
2023-01-14,Brett Broderick,Barry Scarborough,1,2
2023-01-14,Sue McCord,Angeline Hall,1,2
2023-01-14,Robert Hickfuss,Olan O'Mahony,1,2
2023-01-14,Darron Wallace,Thomas Darcy,2,1
2023-01-14,Mark Wood,David Brown,2,0
2023-01-14,James Hawley,Adam Power,2,0
2023-01-14,Andrew Talbot,Mark Kunde,2,0
2023-01-14,Karen Mudford,Kerry Spengler,1,2
2023-01-14,Al Vo,Jason Rose,1,2
2023-01-14,Brendan Schumann,George Bott,2,3
2023-01-14,Matt Harmon,Brett King,3,1
2023-01-14,Terence Mudge,JJ Spink,1,3
2023-01-14,Jayden Dinga,John Pettinato,3,2
2023-01-14,Robbie Kajewski,James Buchanan,3,0
